id,name,team,GW 1,GW 2,GW 3,GW 4,GW 5,GW 6,GW 7,GW 8,GW 9,GW 10,GW 11,GW 12,GW 13,GW 14,GW 15,GW 16,GW 17,GW 18,GW 19,GW 20,GW 21,GW 22,GW 23,GW 24,GW 25,GW 26,GW 27,GW 28,GW 29,GW 30,GW 31,GW 32,GW 33,GW 34,GW 35,GW 36,GW 37,GW 38
814,Wright,Man City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568,4.599999904632568
209,Mount,Man Utd,7.0,7.0,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.0,6.8,6.8,6.8,6.8,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568
371,Amad,Man Utd,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863
372,Antony,Man Utd,7.0,7.0,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,0.0,6.8,6.8,6.8,6.8,4.900000095367432,5.099999904632568,5.0,5.0,5.0
373,B.Fernandes,Man Utd,8.5,8.5,8.5,8.5,8.4,8.4,8.4,8.4,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,8.2,0.0,8.2,8.2,8.2,8.2,5.5,6.0,5.800000190734863,5.599999904632568,5.800000190734863
376,Casemiro,Man Utd,5.5,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.4,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,5.3,0.0,5.3,5.3,5.3,5.3,4.900000095367432,5.099999904632568,4.900000095367432,4.900000095367432,4.900000095367432
377,Dalot,Man Utd,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,5.0,5.0,5.0,5.0,5.0,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.1,5.2,5.2,5.2,0.0,5.2,5.2,5.2,5.2,4.599999904632568,4.5,4.599999904632568,4.5,4.599999904632568
379,Eriksen,Man Utd,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,0.0,5.8,5.8,5.8,5.8,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,5.0
382,Garnacho,Man Utd,5.0,5.0,5.0,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.8,4.8,4.8,4.7,4.8,4.8,4.8,4.8,4.9,4.9,5.0,5.0,5.0,0.0,4.9,4.9,4.9,5.0,6.0,5.199999809265137,5.5,5.5,5.5
384,Heaton,Man Utd,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,3.9,3.9,3.9,3.9,4.0,4.0,4.0,4.0,4.0
386,Lindelof,Man Utd,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0.0,4.5,4.5,4.5,4.5,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863
387,Maguire,Man Utd,4.5,4.5,4.4,4.4,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.3,4.3,4.3,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.2,0.0,4.2,4.2,4.2,4.2,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432
388,Mainoo,Man Utd,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,5.0,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568
389,Malacia,Man Utd,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,0.0,4.3,4.3,4.3,4.3,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863
390,Martial,Man Utd,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0.0,6.4,6.4,6.4,6.4,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432,4.900000095367432
391,Martinez,Man Utd,5.0,5.0,4.9,4.9,4.8,4.8,4.8,4.8,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,0.0,4.7,4.7,4.7,4.7,4.400000095367432,4.300000190734863,4.400000095367432,4.400000095367432,4.5
392,McTominay,Man Utd,5.0,5.0,4.9,4.9,4.9,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.9,4.9,4.9,4.9,4.8,4.7,4.6,4.6,4.6,4.6,4.6,4.6,4.6,0.0,4.6,4.6,4.6,4.5,5.099999904632568,5.0,4.900000095367432,5.0,5.0
395,R.Varane,Man Utd,5.0,5.0,5.1,5.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,0.0,4.9,4.9,4.9,4.9,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863
396,Rashford,Man Utd,9.0,9.0,9.0,9.0,8.9,8.9,8.9,8.8,8.8,8.7,8.6,8.6,8.6,8.6,8.5,8.5,8.5,8.5,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,8.4,0.0,8.4,8.4,8.4,8.4,5.800000190734863,5.699999809265137,5.599999904632568,5.599999904632568,5.599999904632568
398,Shaw,Man Utd,5.5,5.5,5.5,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.2,0.0,5.2,5.2,5.2,5.2,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863
399,Shoretire,Man Utd,4.5,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,5.199999809265137,4.900000095367432,5.0,5.0,5.0
401,Wan-Bissaka,Man Utd,4.5,4.5,4.6,4.6,4.6,4.6,4.5,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,0.0,4.4,4.4,4.4,4.4,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432,4.400000095367432
